,sequence
1YWO_1D4T,49.13
1YWO_1ELW,-17.12
1YWO_1FCH,-20.78
1YWO_1GWR,24.61
1YWO_1JD5,44.22
1YWO_1LB6,34.41
1YWO_1MF4,13.18
1YWO_1MFG,18.21
1YWO_1OAI,-33.15
1YWO_1T7R,12.86
1YWO_1X2R,44.8
1YWO_1YWO,0.0
1YWO_2HO2,46.77
1YWO_2O9V,241.17
1YWO_2OEI,48.0
1YWO_2PEH,21.02
1YWO_2PV1,9.21
1YWO_2QBW,36.55
1YWO_2WA8,3.77
1YWO_2XRW,29.37
1YWO_3ASL,46.1
1YWO_3CH8,29.64
1YWO_3D9T,46.32
1YWO_3DIW,48.78
1YWO_3DRF,25.13
1YWO_3DRG,25.55
1YWO_3EMH,50.66
1YWO_3IQG,21.07
1YWO_3IVV,47.14
1YWO_3L3X,-18.01
1YWO_3OBQ,28.92
1YWO_3R42,20.47
1YWO_3RYB,26.58
1YWO_3SO6,10.86
1YWO_3SOU,39.45
1YWO_3UPV,-31.28
1YWO_3UVK,42.64
1YWO_3UVM,51.59
1YWO_4AIF,-17.94
1YWO_4APO,-41.27
1YWO_4CC2,267.15
1YWO_4CY1,46.82
1YWO_4E3B,41.98
1YWO_4EQJ,33.58
1YWO_4ERY,52.32
1YWO_4EWR,42.8
1YWO_4F14,315.91
1YWO_4GNE,39.44
1YWO_4GQ6,33.41
1YWO_4H39,33.05
1YWO_4IKN,39.74
1YWO_4J73,63.14
1YWO_4J78,54.55
1YWO_4J81,54.74
1YWO_4JOE,39.1
1YWO_4K75,49.95
1YWO_4LN2,237.96
1YWO_4LNP,277.24
1YWO_4MDR,42.24
1YWO_4NXQ,45.14
1YWO_4O36,-0.65
1YWO_4WYU,48.68
1YWO_4X3H,10.24
1YWO_4XHV,52.59
1YWO_4Y7R,46.53
1YWO_4YSI,30.93
1YWO_4ZHL,37.34
1YWO_5A2J,45.74
1YWO_5CFA,29.34
1YWO_5E1D,26.81
1YWO_5E2Q,20.01
1YWO_5GP7,13.98
1YWO_5GU4,24.1
1YWO_5HEB,50.84
1YWO_5HEY,51.39
1YWO_5WOU,34.15
1YWO_5XHZ,282.15
1YWO_5YGF,66.37
1YWO_6CDG,50.17
1YWO_6EVN,6.54
1YWO_6IM4,28.96
2HO2_1CKA,36.09
2HO2_1D4T,41.7
2HO2_1ELW,-7.58
2HO2_1FCH,14.19
2HO2_1GWR,23.26
2HO2_1JD5,42.45
2HO2_1LB6,25.53
2HO2_1MF4,17.15
2HO2_1MFG,29.46
2HO2_1OAI,-6.67
2HO2_1T7R,3.88
2HO2_1X2R,55.79
2HO2_1YWO,46.77
2HO2_2HO2,0.0
2HO2_2O9V,27.61
2HO2_2OEI,286.16
2HO2_2PEH,19.53
2HO2_2PV1,41.36
2HO2_2QBW,26.93
2HO2_2WA8,22.21
2HO2_2XRW,26.15
2HO2_3ASL,20.17
2HO2_3CH8,22.33
2HO2_3D9T,44.35
2HO2_3DIW,30.72
2HO2_3DRF,34.42
2HO2_3DRG,34.98
2HO2_3EMH,61.97
2HO2_3IQG,26.21
2HO2_3IVV,43.68
2HO2_3L3X,-4.82
2HO2_3OBQ,43.71
2HO2_3R42,32.11
2HO2_3RYB,28.23
2HO2_3SO6,58.63
2HO2_3SOU,24.99
2HO2_3UPV,-5.78
2HO2_3UVK,63.98
2HO2_3UVM,63.25
2HO2_4AIF,19.14
2HO2_4APO,19.47
2HO2_4CC2,26.92
2HO2_4CY1,71.03
2HO2_4E3B,17.19
2HO2_4EQJ,45.41
2HO2_4ERY,63.13
2HO2_4EWR,68.79
2HO2_4F14,55.95
2HO2_4GNE,12.25
2HO2_4GQ6,52.95
2HO2_4H39,24.19
2HO2_4IKN,33.4
2HO2_4J73,73.22
2HO2_4J78,73.9
2HO2_4J81,74.7
2HO2_4JOE,26.63
2HO2_4K75,23.06
2HO2_4LN2,31.69
2HO2_4LNP,37.38
2HO2_4MDR,40.58
2HO2_4NXQ,44.02
2HO2_4O36,-3.16
2HO2_4WYU,28.92
2HO2_4X3H,17.1
2HO2_4XHV,20.24
2HO2_4Y7R,62.74
2HO2_4YSI,38.95
2HO2_4ZHL,23.98
2HO2_5A2J,41.69
2HO2_5CFA,40.82
2HO2_5E1D,36.47
2HO2_5E2Q,37.13
2HO2_5GP7,14.32
2HO2_5GU4,43.28
2HO2_5HEB,35.46
2HO2_5HEY,23.99
2HO2_5WOU,15.55
2HO2_5XHZ,59.13
2HO2_5YGF,46.97
2HO2_6CDG,46.74
2HO2_6EVN,23.84
2HO2_6IM4,24.29
2O9V_1CKA,305.63
2O9V_1D4T,46.13
2O9V_1ELW,-26.42
2O9V_1FCH,21.56
2O9V_1GWR,40.11
2O9V_1JD5,29.56
2O9V_1LB6,24.04
2O9V_1MF4,0.85
2O9V_1MFG,53.1
2O9V_1OAI,-12.26
2O9V_1T7R,19.47
2O9V_1X2R,50.85
2O9V_1YWO,241.17
2O9V_2HO2,27.61
2O9V_2O9V,0.0
2O9V_2OEI,34.05
2O9V_2PEH,48.99
2O9V_2PV1,21.33
2O9V_2QBW,54.86
2O9V_2WA8,44.39
2O9V_2XRW,53.95
2O9V_3ASL,28.49
2O9V_3CH8,42.62
2O9V_3D9T,17.41
2O9V_3DIW,57.42
2O9V_3DRF,47.47
2O9V_3DRG,50.25
2O9V_3EMH,52.22
2O9V_3IQG,36.67
2O9V_3IVV,49.91
2O9V_3L3X,24.77
2O9V_3OBQ,41.6
2O9V_3R42,18.51
2O9V_3RYB,46.87
2O9V_3SO6,67.02
2O9V_3SOU,34.53
2O9V_3UPV,-51.46
2O9V_3UVK,61.52
2O9V_3UVM,55.45
2O9V_4AIF,3.5
2O9V_4APO,-1.18
2O9V_4CC2,274.43
2O9V_4CY1,56.29
2O9V_4E3B,49.23
2O9V_4EQJ,54.32
2O9V_4ERY,50.57
2O9V_4EWR,52.49
2O9V_4F14,292.74
2O9V_4GNE,14.85
2O9V_4GQ6,60.76
2O9V_4H39,51.58
2O9V_4IKN,22.41
2O9V_4J73,68.11
2O9V_4J78,64.82
2O9V_4J81,65.43
2O9V_4JOE,46.97
2O9V_4K75,58.59
2O9V_4LN2,608.16
2O9V_4LNP,355.15
2O9V_4MDR,43.49
2O9V_4NXQ,65.02
2O9V_4O36,-0.08
2O9V_4WYU,47.26
2O9V_4X3H,14.58
2O9V_4XHV,62.71
2O9V_4Y7R,52.15
2O9V_4YSI,36.98
2O9V_4ZHL,53.5
2O9V_5A2J,51.61
2O9V_5CFA,29.49
2O9V_5E1D,32.9
2O9V_5E2Q,7.92
2O9V_5GP7,-9.24
2O9V_5GU4,23.68
2O9V_5HEB,57.16
2O9V_5HEY,54.5
2O9V_5WOU,49.33
2O9V_5XHZ,267.61
2O9V_5YGF,89.11
2O9V_6CDG,29.53
2O9V_6EVN,-27.68
2O9V_6IM4,-0.32
2OEI_1CKA,42.13
2OEI_1D4T,46.1
2OEI_1ELW,-24.77
2OEI_1FCH,15.73
2OEI_1GWR,18.15
2OEI_1JD5,41.83
2OEI_1LB6,8.94
2OEI_1MF4,16.38
2OEI_1MFG,32.69
2OEI_1OAI,8.46
2OEI_1T7R,7.37
2OEI_1X2R,55.76
2OEI_1YWO,47.85
2OEI_2HO2,286.16
2OEI_2O9V,34.05
2OEI_2OEI,0.0
2OEI_2PEH,20.5
2OEI_2PV1,39.2
2OEI_2QBW,26.02
2OEI_2WA8,27.34
2OEI_2XRW,37.21
2OEI_3ASL,25.47
2OEI_3CH8,26.45
2OEI_3D9T,42.48
2OEI_3DIW,29.77
2OEI_3DRF,35.32
2OEI_3DRG,38.09
2OEI_3EMH,70.45
2OEI_3IQG,32.27
2OEI_3IVV,28.42
2OEI_3L3X,5.23
2OEI_3OBQ,15.56
2OEI_3R42,35.02
2OEI_3RYB,38.03
2OEI_3SO6,58.03
2OEI_3SOU,28.11
2OEI_3UPV,-15.57
2OEI_3UVK,69.63
2OEI_3UVM,69.8
2OEI_4AIF,22.09
2OEI_4APO,19.72
2OEI_4CC2,29.34
2OEI_4CY1,70.7
2OEI_4E3B,22.7
2OEI_4EQJ,37.94
2OEI_4ERY,69.68
2OEI_4EWR,77.14
2OEI_4F14,49.06
2OEI_4GNE,24.22
2OEI_4GQ6,49.43
2OEI_4H39,36.32
2OEI_4IKN,53.67
2OEI_4J73,79.14
2OEI_4J78,81.5
2OEI_4J81,74.14
2OEI_4JOE,28.25
2OEI_4K75,23.19
2OEI_4LN2,34.3
2OEI_4LNP,41.74
2OEI_4MDR,45.53
2OEI_4NXQ,48.12
2OEI_4O36,4.48
2OEI_4WYU,29.55
2OEI_4X3H,16.5
2OEI_4XHV,30.14
2OEI_4Y7R,68.59
2OEI_4YSI,39.29
2OEI_4ZHL,26.44
2OEI_5A2J,47.75
2OEI_5CFA,42.89
2OEI_5E1D,29.42
2OEI_5E2Q,42.85
2OEI_5GP7,15.23
2OEI_5GU4,41.18
2OEI_5HEB,32.02
2OEI_5HEY,23.09
2OEI_5WOU,26.58
2OEI_5XHZ,65.65
2OEI_5YGF,48.17
2OEI_6CDG,48.49
2OEI_6EVN,27.57
2OEI_6IM4,24.53
2PEH_1CKA,17.28
2PEH_1D4T,33.16
2PEH_1ELW,10.37
2PEH_1FCH,30.94
2PEH_1GWR,27.2
2PEH_1JD5,-3.94
2PEH_1LB6,44.56
2PEH_1MF4,2.68
2PEH_1MFG,35.85
2PEH_1OAI,23.8
2PEH_1T7R,33.94
2PEH_1X2R,32.45
2PEH_1YWO,21.02
2PEH_2HO2,28.09
2PEH_2O9V,25.12
2PEH_2OEI,26.31
2PEH_2PEH,0.0
2PEH_2PV1,60.29
2PEH_2QBW,17.81
2PEH_2WA8,74.61
2PEH_2XRW,84.0
2PEH_3ASL,-8.59
2PEH_3CH8,50.21
2PEH_3D9T,-5.01
2PEH_3DIW,30.1
2PEH_3DRF,61.07
2PEH_3DRG,51.73
2PEH_3EMH,48.15
2PEH_3IQG,43.96
2PEH_3IVV,39.34
2PEH_3L3X,1.72
2PEH_3OBQ,52.11
2PEH_3R42,47.25
2PEH_3RYB,54.19
2PEH_3SO6,60.66
2PEH_3SOU,15.36
2PEH_3UPV,5.83
2PEH_3UVK,8.55
2PEH_3UVM,31.79
2PEH_4AIF,17.43
2PEH_4APO,-20.27
2PEH_4CC2,22.17
2PEH_4CY1,52.77
2PEH_4E3B,60.3
2PEH_4EQJ,47.31
2PEH_4ERY,43.63
2PEH_4EWR,27.67
2PEH_4F14,8.08
2PEH_4GNE,15.66
2PEH_4GQ6,32.66
2PEH_4H39,61.18
2PEH_4IKN,42.93
2PEH_4J73,40.81
2PEH_4J78,34.91
2PEH_4J81,34.05
2PEH_4JOE,38.59
2PEH_4K75,30.52
2PEH_4LN2,50.84
2PEH_4LNP,36.3
2PEH_4MDR,48.25
2PEH_4NXQ,40.39
2PEH_4O36,14.66
2PEH_4WYU,41.21
2PEH_4X3H,29.57
2PEH_4XHV,33.39
2PEH_4Y7R,48.69
2PEH_4YSI,29.21
2PEH_4ZHL,44.13
2PEH_5A2J,15.07
2PEH_5CFA,29.59
2PEH_5E1D,60.8
2PEH_5E2Q,77.4
2PEH_5GP7,16.56
2PEH_5GU4,37.63
2PEH_5HEB,33.34
2PEH_5HEY,51.73
2PEH_5WOU,33.83
2PEH_5XHZ,36.33
2PEH_5YGF,37.2
2PEH_6CDG,48.7
2PEH_6EVN,11.21
2PEH_6IM4,39.76
2PV1_1CKA,45.07
2PV1_1D4T,39.77
2PV1_1ELW,34.73
2PV1_1FCH,48.62
2PV1_1GWR,60.74
2PV1_1JD5,0.66
2PV1_1LB6,44.45
2PV1_1MF4,67.22
2PV1_1MFG,11.6
2PV1_1OAI,41.7
2PV1_1T7R,50.67
2PV1_1X2R,33.17
2PV1_1YWO,35.85
2PV1_2HO2,41.36
2PV1_2O9V,25.22
2PV1_2OEI,39.2
2PV1_2PEH,60.29
2PV1_2PV1,0.0
2PV1_2QBW,35.44
2PV1_2WA8,38.52
2PV1_2XRW,58.6
2PV1_3ASL,35.13
2PV1_3CH8,26.56
2PV1_3D9T,16.08
2PV1_3DIW,1.98
2PV1_3DRF,48.63
2PV1_3DRG,43.83
2PV1_3EMH,8.5
2PV1_3IQG,38.28
2PV1_3IVV,70.65
2PV1_3L3X,55.01
2PV1_3OBQ,33.67
2PV1_3R42,28.64
2PV1_3RYB,43.44
2PV1_3SO6,48.67
2PV1_3SOU,24.98
2PV1_3UPV,43.27
2PV1_3UVK,1.65
2PV1_3UVM,28.93
2PV1_4AIF,38.71
2PV1_4APO,36.7
2PV1_4CC2,22.27
2PV1_4CY1,25.31
2PV1_4E3B,-13.82
2PV1_4EQJ,32.05
2PV1_4ERY,5.43
2PV1_4EWR,4.25
2PV1_4F14,33.85
2PV1_4GNE,0.88
2PV1_4GQ6,62.19
2PV1_4H39,40.31
2PV1_4IKN,-3.09
2PV1_4J73,85.03
2PV1_4J78,79.07
2PV1_4J81,82.68
2PV1_4JOE,-13.1
2PV1_4K75,17.27
2PV1_4LN2,29.61
2PV1_4LNP,11.53
2PV1_4MDR,49.61
2PV1_4NXQ,10.2
2PV1_4O36,25.5
2PV1_4WYU,33.52
2PV1_4X3H,24.32
2PV1_4XHV,15.78
2PV1_4Y7R,27.66
2PV1_4YSI,39.23
2PV1_4ZHL,48.71
2PV1_5A2J,31.05
2PV1_5CFA,34.74
2PV1_5E1D,59.53
2PV1_5E2Q,38.11
2PV1_5GP7,77.02
2PV1_5GU4,44.68
2PV1_5HEB,21.22
2PV1_5HEY,8.43
2PV1_5WOU,13.82
2PV1_5XHZ,13.93
2PV1_5YGF,31.5
2PV1_6CDG,17.9
2PV1_6EVN,40.17
2PV1_6IM4,63.36
2QBW_1CKA,40.29
2QBW_1D4T,67.99
2QBW_1ELW,-4.94
2QBW_1FCH,-75.16
2QBW_1GWR,23.74
2QBW_1JD5,12.3
2QBW_1LB6,103.61
2QBW_1MF4,3.14
2QBW_1MFG,747.28
2QBW_1OAI,-7.79
2QBW_1T7R,-25.94
2QBW_1X2R,72.77
2QBW_1YWO,17.71
2QBW_2HO2,26.93
2QBW_2O9V,51.43
2QBW_2OEI,26.02
2QBW_2PEH,14.88
2QBW_2PV1,35.44
2QBW_2QBW,0.0
2QBW_2WA8,-13.22
2QBW_2XRW,89.17
2QBW_3ASL,8.27
2QBW_3CH8,1060.98
2QBW_3D9T,-3.34
2QBW_3DIW,475.69
2QBW_3DRF,92.44
2QBW_3DRG,100.05
2QBW_3EMH,14.52
2QBW_3IQG,-51.2
2QBW_3IVV,95.1
2QBW_3L3X,9.84
2QBW_3OBQ,39.11
2QBW_3R42,53.89
2QBW_3RYB,96.42
2QBW_3SO6,59.92
2QBW_3SOU,7.07
2QBW_3UPV,-19.34
2QBW_3UVK,14.5
2QBW_3UVM,17.97
2QBW_4AIF,-15.65
2QBW_4APO,-2.03
2QBW_4CC2,37.69
2QBW_4CY1,46.19
2QBW_4E3B,485.76
2QBW_4EQJ,77.4
2QBW_4ERY,17.36
2QBW_4EWR,19.37
2QBW_4F14,49.74
2QBW_4GNE,14.07
2QBW_4GQ6,46.31
2QBW_4H39,32.37
2QBW_4IKN,87.48
2QBW_4J73,35.19
2QBW_4J78,58.86
2QBW_4J81,83.22
2QBW_4JOE,379.57
2QBW_4K75,367.48
2QBW_4LN2,57.47
2QBW_4LNP,62.05
2QBW_4MDR,94.14
2QBW_4NXQ,280.91
2QBW_4O36,15.57
2QBW_4WYU,474.82
2QBW_4X3H,13.67
2QBW_4XHV,367.66
2QBW_4Y7R,16.06
2QBW_4YSI,67.98
2QBW_4ZHL,29.64
2QBW_5A2J,132.9
2QBW_5CFA,158.92
2QBW_5E1D,5.99
2QBW_5E2Q,35.63
2QBW_5GP7,-22.53
2QBW_5GU4,77.68
2QBW_5HEB,405.21
2QBW_5HEY,398.41
2QBW_5WOU,496.84
2QBW_5XHZ,38.89
2QBW_5YGF,44.61
2QBW_6CDG,93.8
2QBW_6EVN,23.72
2QBW_6IM4,-53.39
2WA8_1CKA,12.03
2WA8_1D4T,56.4
2WA8_1ELW,24.32
2WA8_1FCH,33.51
2WA8_1GWR,38.47
2WA8_1JD5,45.27
2WA8_1LB6,40.06
2WA8_1MF4,40.7
2WA8_1MFG,22.9
2WA8_1OAI,62.0
2WA8_1T7R,46.45
2WA8_1X2R,26.86
2WA8_1YWO,3.77
2WA8_2HO2,22.14
2WA8_2O9V,5.39
2WA8_2OEI,22.64
2WA8_2PEH,75.49
2WA8_2PV1,53.66
2WA8_2QBW,-13.22
2WA8_2WA8,0.0
2WA8_2XRW,34.25
2WA8_3ASL,14.19
2WA8_3CH8,-5.68
2WA8_3D9T,31.07
2WA8_3DIW,59.04
2WA8_3DRF,85.43
2WA8_3DRG,82.34
2WA8_3EMH,12.7
2WA8_3IQG,57.33
2WA8_3IVV,44.96
2WA8_3L3X,52.57
2WA8_3OBQ,31.14
2WA8_3R42,41.37
2WA8_3RYB,87.51
2WA8_3SO6,43.45
2WA8_3SOU,-6.24
2WA8_3UPV,30.24
2WA8_3UVK,5.18
2WA8_3UVM,29.52
2WA8_4AIF,33.99
2WA8_4APO,32.92
2WA8_4CC2,11.32
2WA8_4CY1,25.87
2WA8_4E3B,48.13
2WA8_4EQJ,53.57
2WA8_4ERY,27.48
2WA8_4EWR,28.07
2WA8_4F14,29.3
2WA8_4GNE,18.36
2WA8_4GQ6,76.53
2WA8_4H39,42.6
2WA8_4IKN,19.43
2WA8_4J73,45.78
2WA8_4J78,-17.84
2WA8_4J81,37.25
2WA8_4JOE,56.97
2WA8_4K75,47.41
2WA8_4LN2,48.02
2WA8_4LNP,8.9
2WA8_4MDR,33.78
2WA8_4NXQ,43.34
2WA8_4O36,18.47
2WA8_4WYU,44.64
2WA8_4X3H,52.98
2WA8_4XHV,34.7
2WA8_4Y7R,6.17
2WA8_4YSI,46.73
2WA8_4ZHL,7.11
2WA8_5A2J,1.87
2WA8_5CFA,7.58
2WA8_5E1D,47.33
2WA8_5E2Q,36.81
2WA8_5GP7,25.62
2WA8_5GU4,53.75
2WA8_5HEB,48.81
2WA8_5HEY,55.27
2WA8_5WOU,61.37
2WA8_5XHZ,-13.52
2WA8_5YGF,57.37
2WA8_6CDG,47.03
2WA8_6EVN,35.02
2WA8_6IM4,29.11
2XRW_1CKA,53.26
2XRW_1D4T,39.8
2XRW_1ELW,71.36
2XRW_1FCH,37.06
2XRW_1GWR,77.04
2XRW_1JD5,-17.35
2XRW_1LB6,39.21
2XRW_1MF4,58.5
2XRW_1MFG,59.78
2XRW_1OAI,40.35
2XRW_1T7R,92.71
2XRW_1X2R,36.85
2XRW_1YWO,31.54
2XRW_2HO2,26.15
2XRW_2O9V,63.96
2XRW_2OEI,37.21
2XRW_2PEH,82.37
2XRW_2PV1,58.6
2XRW_2QBW,84.54
2XRW_2WA8,34.25
2XRW_2XRW,0.0
2XRW_3ASL,29.52
2XRW_3CH8,85.73
2XRW_3D9T,-9.26
2XRW_3DIW,71.13
2XRW_3DRF,34.92
2XRW_3DRG,100.87
2XRW_3EMH,120.95
2XRW_3IQG,15.93
2XRW_3IVV,38.45
2XRW_3L3X,76.87
2XRW_3OBQ,17.74
2XRW_3R42,37.4
2XRW_3RYB,50.11
2XRW_3SO6,74.06
2XRW_3SOU,43.45
2XRW_3UPV,33.42
2XRW_3UVK,122.02
2XRW_3UVM,119.96
2XRW_4AIF,71.14
2XRW_4APO,70.63
2XRW_4CC2,63.87
2XRW_4CY1,120.44
2XRW_4E3B,72.45
2XRW_4EQJ,41.39
2XRW_4ERY,120.84
2XRW_4EWR,128.03
2XRW_4F14,63.48
2XRW_4GNE,23.85
2XRW_4GQ6,15.16
2XRW_4H39,2478.98
2XRW_4IKN,32.54
2XRW_4J73,123.88
2XRW_4J78,120.0
2XRW_4J81,120.36
2XRW_4JOE,59.32
2XRW_4K75,65.89
2XRW_4LN2,59.2
2XRW_4LNP,64.96
2XRW_4MDR,-16.95
2XRW_4NXQ,74.37
2XRW_4O36,10.06
2XRW_4WYU,-1.31
2XRW_4X3H,43.5
2XRW_4XHV,59.94
2XRW_4Y7R,122.28
2XRW_4YSI,39.76
2XRW_4ZHL,21.77
2XRW_5A2J,39.47
2XRW_5CFA,-78.74
2XRW_5E1D,85.69
2XRW_5E2Q,43.18
2XRW_5GP7,50.43
2XRW_5GU4,30.61
2XRW_5HEB,62.63
2XRW_5HEY,72.46
2XRW_5WOU,74.02
2XRW_5XHZ,59.43
2XRW_5YGF,20.13
2XRW_6CDG,62.37
2XRW_6EVN,70.51
2XRW_6IM4,62.14
3ASL_1CKA,21.53
3ASL_1D4T,10.12
3ASL_1ELW,-21.97
3ASL_1FCH,11.71
3ASL_1GWR,8.31
3ASL_1JD5,54.7
3ASL_1LB6,9.8
3ASL_1MF4,-6.65
3ASL_1MFG,15.91
3ASL_1OAI,-1.08
3ASL_1T7R,7.21
3ASL_1X2R,37.41
3ASL_1YWO,46.1
3ASL_2HO2,23.57
3ASL_2O9V,40.29
3ASL_2OEI,26.52
3ASL_2PEH,3.21
3ASL_2PV1,35.52
3ASL_2QBW,19.39
3ASL_2WA8,8.05
3ASL_2XRW,34.85
3ASL_3ASL,0.0
3ASL_3CH8,9.43
3ASL_3D9T,68.5
3ASL_3DIW,-2.89
3ASL_3DRF,20.27
3ASL_3DRG,-3.7
3ASL_3EMH,23.42
3ASL_3IQG,24.54
3ASL_3IVV,10.4
3ASL_3L3X,-0.82
3ASL_3OBQ,25.26
3ASL_3R42,4.61
3ASL_3RYB,38.86
3ASL_3SO6,41.2
3ASL_3SOU,707.72
3ASL_3UPV,-17.83
3ASL_3UVK,21.1
3ASL_3UVM,21.64
3ASL_4AIF,-11.2
3ASL_4APO,-17.89
3ASL_4CC2,37.38
3ASL_4CY1,7.31
3ASL_4E3B,21.39
3ASL_4EQJ,31.57
3ASL_4ERY,18.18
3ASL_4EWR,28.2
3ASL_4F14,21.65
3ASL_4GNE,221.0
3ASL_4GQ6,5.85
3ASL_4H39,42.36
3ASL_4IKN,19.16
3ASL_4J73,34.0
3ASL_4J78,26.23
3ASL_4J81,41.51
3ASL_4JOE,17.09
3ASL_4K75,10.49
3ASL_4LN2,41.31
3ASL_4LNP,32.59
3ASL_4MDR,26.26
3ASL_4NXQ,15.31
3ASL_4O36,4.31
3ASL_4WYU,8.88
3ASL_4X3H,11.75
3ASL_4XHV,9.51
3ASL_4Y7R,22.08
3ASL_4YSI,6.21
3ASL_4ZHL,19.73
3ASL_5A2J,6.72
3ASL_5CFA,22.43
3ASL_5E1D,21.0
3ASL_5E2Q,22.91
3ASL_5GP7,1.21
3ASL_5GU4,41.06
3ASL_5HEB,19.39
3ASL_5HEY,26.64
3ASL_5WOU,1.97
3ASL_5XHZ,39.24
3ASL_5YGF,37.49
3ASL_6CDG,16.76
3ASL_6EVN,-7.78
3ASL_6IM4,14.48
3CH8_1CKA,35.94
3CH8_1D4T,53.57
3CH8_1ELW,12.9
3CH8_1FCH,-36.39
3CH8_1GWR,-18.55
3CH8_1JD5,51.89
3CH8_1LB6,97.24
3CH8_1MF4,23.72
3CH8_1MFG,750.14
3CH8_1OAI,4.77
3CH8_1T7R,7.77
3CH8_1X2R,53.92
3CH8_1YWO,32.34
3CH8_2HO2,22.33
3CH8_2O9V,47.11
3CH8_2OEI,26.45
3CH8_2PEH,50.21
3CH8_2PV1,34.28
3CH8_2QBW,1060.98
3CH8_2WA8,25.53
3CH8_2XRW,85.73
3CH8_3ASL,9.43
3CH8_3CH8,0.0
3CH8_3D9T,24.58
3CH8_3DIW,456.71
3CH8_3DRF,79.58
3CH8_3DRG,96.16
3CH8_3EMH,45.59
3CH8_3IQG,-8.58
3CH8_3IVV,94.96
3CH8_3L3X,-46.08
3CH8_3OBQ,62.61
3CH8_3R42,59.17
3CH8_3RYB,90.88
3CH8_3SO6,53.36
3CH8_3SOU,16.77
3CH8_3UPV,10.15
3CH8_3UVK,79.08
3CH8_3UVM,79.45
3CH8_4AIF,-10.75
3CH8_4APO,-43.38
3CH8_4CC2,44.49
3CH8_4CY1,19.47
3CH8_4E3B,458.37
3CH8_4EQJ,43.04
3CH8_4ERY,79.4
3CH8_4EWR,48.87
3CH8_4F14,33.39
3CH8_4GNE,28.88
3CH8_4GQ6,9.77
3CH8_4H39,83.14
3CH8_4IKN,116.54
3CH8_4J73,60.98
3CH8_4J78,68.08
3CH8_4J81,55.14
3CH8_4JOE,361.97
3CH8_4K75,355.02
3CH8_4LN2,50.04
3CH8_4LNP,59.81
3CH8_4MDR,97.77
3CH8_4NXQ,274.46
3CH8_4O36,11.76
3CH8_4WYU,399.03
3CH8_4X3H,-1.08
3CH8_4XHV,352.57
3CH8_4Y7R,56.24
3CH8_4YSI,64.13
3CH8_4ZHL,23.31
3CH8_5A2J,130.13
3CH8_5CFA,136.08
3CH8_5E1D,-44.37
3CH8_5E2Q,6.01
3CH8_5GP7,11.68
3CH8_5GU4,-1.59
3CH8_5HEB,398.2
3CH8_5HEY,371.82
3CH8_5WOU,453.83
3CH8_5XHZ,46.59
3CH8_5YGF,10.32
3CH8_6CDG,63.08
3CH8_6EVN,7.33
3CH8_6IM4,-33.8
3D9T_1CKA,26.89
3D9T_1D4T,7.6
3D9T_1ELW,31.77
3D9T_1FCH,43.93
3D9T_1GWR,1.14
3D9T_1JD5,621.02
3D9T_1LB6,23.5
3D9T_1MF4,0.5
3D9T_1MFG,14.42
3D9T_1OAI,13.65
3D9T_1T7R,20.76
3D9T_1X2R,-3.16
3D9T_1YWO,46.32
3D9T_2HO2,44.35
3D9T_2O9V,17.41
3D9T_2OEI,42.48
3D9T_2PEH,27.32
3D9T_2PV1,16.08
3D9T_2QBW,27.89
3D9T_2WA8,31.07
3D9T_2XRW,2.04
3D9T_3ASL,68.5
3D9T_3CH8,4.77
3D9T_3D9T,0.0
3D9T_3DIW,57.08
3D9T_3DRF,39.05
3D9T_3DRG,43.67
3D9T_3EMH,-27.49
3D9T_3IQG,11.15
3D9T_3IVV,9.84
3D9T_3L3X,35.55
3D9T_3OBQ,80.3
3D9T_3R42,33.96
3D9T_3RYB,32.98
3D9T_3SO6,0.49
3D9T_3SOU,73.81
3D9T_3UPV,31.42
3D9T_3UVK,-22.75
3D9T_3UVM,-30.57
3D9T_4AIF,4.75
3D9T_4APO,43.93
3D9T_4CC2,12.06
3D9T_4CY1,-20.43
3D9T_4E3B,56.15
3D9T_4EQJ,-35.32
3D9T_4ERY,-24.18
3D9T_4EWR,-22.59
3D9T_4F14,18.42
3D9T_4GNE,30.22
3D9T_4GQ6,12.17
3D9T_4H39,-8.99
3D9T_4IKN,2.69
3D9T_4J73,32.02
3D9T_4J78,25.92
3D9T_4J81,22.46
3D9T_4JOE,22.27
3D9T_4K75,15.6
3D9T_4LN2,11.61
3D9T_4LNP,22.26
3D9T_4MDR,-8.58
3D9T_4NXQ,32.65
3D9T_4O36,26.35
3D9T_4WYU,41.71
3D9T_4X3H,14.45
3D9T_4XHV,0.92
3D9T_4Y7R,-21.66
3D9T_4YSI,19.83
3D9T_4ZHL,18.15
3D9T_5A2J,8.66
3D9T_5CFA,22.98
3D9T_5E1D,34.31
3D9T_5E2Q,34.82
3D9T_5GP7,51.03
3D9T_5GU4,36.1
3D9T_5HEB,37.2
3D9T_5HEY,35.71
3D9T_5WOU,16.34
3D9T_5XHZ,23.2
3D9T_5YGF,23.7
3D9T_6CDG,32.61
3D9T_6EVN,34.13
3D9T_6IM4,49.19
3DIW_1CKA,37.14
3DIW_1D4T,39.68
3DIW_1ELW,7.86
3DIW_1FCH,0.56
3DIW_1GWR,2.48
3DIW_1JD5,63.98
3DIW_1LB6,46.29
3DIW_1MF4,28.06
3DIW_1MFG,493.67
3DIW_1OAI,3.75
3DIW_1T7R,-11.64
